,age,job,marital,education,default,housing,loan,contact,month,day_of_week
0,58,housemaid,married,basic.4y,unknown,yes,no,cellular,aug,mon
1,38,technician,married,professional.course,no,yes,no,telephone,may,tue
2,81,retired,divorced,basic.4y,no,yes,no,cellular,oct,thu
3,49,blue-collar,married,basic.6y,no,yes,no,telephone,may,fri
4,38,unemployed,married,basic.4y,unknown,no,no,telephone,jun,thu
5,47,admin.,single,unknown,unknown,yes,no,telephone,may,tue
6,33,admin.,married,university.degree,no,no,yes,telephone,jun,tue
7,31,technician,single,university.degree,no,yes,no,cellular,jul,mon
8,31,admin.,divorced,high.school,no,no,yes,cellular,jul,fri
9,51,housemaid,married,basic.9y,no,yes,no,cellular,jul,tue
10,45,services,single,high.school,no,no,no,telephone,jun,tue
11,54,retired,married,basic.9y,unknown,yes,yes,telephone,may,mon
12,46,admin.,married,university.degree,no,yes,no,cellular,mar,thu
13,33,services,single,high.school,no,no,yes,telephone,may,mon
14,40,admin.,single,high.school,no,no,no,cellular,may,tue
15,31,services,married,high.school,unknown,no,no,telephone,may,wed
16,26,admin.,single,basic.9y,no,yes,yes,cellular,jul,tue
17,76,retired,married,basic.6y,no,no,yes,cellular,aug,thu
18,36,blue-collar,married,university.degree,unknown,yes,yes,telephone,may,fri
19,30,admin.,single,university.degree,no,yes,yes,telephone,nov,fri
20,59,management,married,university.degree,no,yes,no,cellular,aug,wed
21,38,housemaid,married,high.school,no,no,no,cellular,jul,thu
22,58,retired,married,university.degree,no,no,no,cellular,may,wed
23,42,blue-collar,divorced,basic.4y,no,no,no,telephone,may,fri
24,39,admin.,married,university.degree,no,no,no,telephone,may,mon
25,47,blue-collar,married,basic.6y,unknown,yes,no,cellular,may,mon
26,28,technician,single,university.degree,no,yes,no,cellular,apr,fri
27,34,unemployed,married,unknown,no,yes,no,telephone,may,fri
28,24,student,single,high.school,unknown,yes,no,cellular,may,wed
29,32,technician,married,professional.course,no,yes,no,cellular,oct,wed
30,55,services,divorced,high.school,no,yes,no,cellular,jul,fri
31,42,admin.,married,university.degree,no,yes,no,cellular,aug,tue
32,38,blue-collar,single,basic.9y,unknown,yes,no,telephone,jun,mon
33,50,entrepreneur,married,professional.course,no,yes,yes,cellular,aug,thu
34,32,admin.,married,university.degree,no,no,no,telephone,aug,fri
35,51,blue-collar,married,basic.4y,no,yes,no,cellular,may,wed
36,47,management,married,high.school,no,no,no,cellular,may,mon
37,58,retired,married,high.school,unknown,no,no,cellular,may,tue
38,52,admin.,married,unknown,no,yes,no,cellular,apr,wed
39,45,blue-collar,married,basic.9y,unknown,no,no,telephone,may,tue
40,33,blue-collar,married,basic.4y,no,yes,no,telephone,jun,wed
41,54,services,married,basic.4y,unknown,yes,no,telephone,may,mon
42,31,admin.,single,university.degree,no,yes,no,cellular,jul,tue
43,33,admin.,single,high.school,no,no,no,cellular,apr,thu
44,35,admin.,married,university.degree,no,no,yes,telephone,may,wed
45,29,blue-collar,married,basic.9y,no,no,no,cellular,may,wed
46,46,blue-collar,married,basic.9y,no,no,no,cellular,aug,mon
47,38,entrepreneur,divorced,university.degree,no,yes,no,cellular,jul,fri
48,52,housemaid,married,basic.4y,no,no,yes,cellular,jul,fri
49,29,technician,single,professional.course,no,no,no,cellular,aug,mon
50,30,admin.,single,university.degree,no,no,no,cellular,nov,thu
